date,open,high,low,close,volume,dividends,splits
2012-06-05,109.45,110.66,109.39,110.49,164149400,0.0,0
2012-06-06,111.26,113.03,111.23,112.98,184202800,0.0,0
2012-06-07,114.26,114.31,112.81,113.04,184772700,0.0,0
2012-06-08,112.75,113.97,112.39,113.94,143915400,0.0,0
2012-06-11,114.86,114.93,112.38,112.5,169756100,0.0,0
2012-06-12,112.82,113.87,112.28,113.79,181931800,0.0,0
2012-06-13,113.45,114.17,112.68,113.06,172223900,0.0,0
2012-06-14,113.29,114.71,112.98,114.26,230615500,0.0,0
2012-06-15,114.77,115.53,114.53,115.43,169444500,0.688,0
2012-06-18,114.95,115.94,114.69,115.65,131360900,0.0,0
2012-06-19,116.24,117.24,115.63,116.77,137382600,0.0,0
2012-06-20,116.78,117.11,115.54,116.58,206451800,0.0,0
2012-06-21,116.72,116.84,113.87,113.97,205272200,0.0,0
2012-06-22,114.56,115.06,114.12,114.84,130029200,0.0,0
2012-06-25,113.63,113.67,112.6,113.0,146375700,0.0,0
2012-06-26,113.33,113.91,112.67,113.57,141634000,0.0,0
2012-06-27,113.95,114.82,113.56,114.59,108088000,0.0,0
2012-06-28,113.84,114.44,112.97,114.27,169242100,0.0,0
2012-06-29,116.34,117.26,116.04,117.11,212250900,0.0,0
2012-07-02,117.44,117.59,116.62,117.47,129524500,0.0,0
2012-07-03,117.44,118.33,117.32,118.24,80450000,0.0,0
2012-07-05,117.8,118.58,117.28,117.71,126177500,0.0,0
2012-07-06,116.57,116.83,116.04,116.59,151192100,0.0,0
2012-07-09,116.5,116.66,115.91,116.44,103780500,0.0,0
2012-07-10,117.04,117.23,115.03,115.43,167884800,0.0,0
2012-07-11,115.49,115.82,114.77,115.45,141733400,0.0,0
2012-07-12,114.77,115.51,114.1,114.89,143583200,0.0,0
2012-07-13,115.19,116.93,115.17,116.81,129642600,0.0,0
2012-07-16,116.55,116.88,116.08,116.54,97525200,0.0,0
2012-07-17,117.0,117.58,115.78,117.34,138860300,0.0,0
2012-07-18,117.06,118.44,116.99,118.21,113349700,0.0,0
2012-07-19,118.45,118.9,118.07,118.52,129847300,0.0,0
2012-07-20,117.85,118.03,117.3,117.43,142904500,0.0,0
2012-07-23,115.71,117.36,115.17,116.25,145210900,0.0,0
2012-07-24,116.33,116.38,114.47,115.25,173301200,0.0,0
2012-07-25,115.49,115.79,114.66,115.27,129122300,0.0,0
2012-07-26,116.93,117.42,116.39,117.17,156526500,0.0,0
2012-07-27,117.79,119.67,117.15,119.33,236768900,0.0,0
2012-07-30,119.2,119.9,118.98,119.33,106782000,0.0,0
2012-07-31,119.17,119.5,118.5,118.5,120575900,0.0,0
2012-08-01,119.35,119.38,118.23,118.4,138293800,0.0,0
2012-08-02,117.5,118.38,116.67,117.58,199556600,0.0,0
2012-08-03,119.23,120.16,117.61,119.91,157825000,0.0,0
2012-08-06,120.23,120.62,120.09,120.14,86326200,0.0,0
2012-08-07,120.63,121.26,120.5,120.75,109545100,0.0,0
2012-08-08,120.34,121.03,120.31,120.89,89754700,0.0,0
2012-08-09,120.72,121.24,120.6,121.0,90291700,0.0,0
2012-08-10,120.5,121.24,120.31,121.19,99792700,0.0,0
2012-08-13,120.99,121.19,120.5,121.13,79426900,0.0,0
2012-08-14,121.58,121.66,120.79,121.15,102379400,0.0,0
2012-08-15,121.02,121.49,120.94,121.29,71085900,0.0,0
2012-08-16,121.46,122.33,121.16,122.18,112014200,0.0,0
2012-08-17,122.39,122.45,122.07,122.35,90813700,0.0,0
2012-08-20,122.17,122.38,121.84,122.36,78255700,0.0,0
2012-08-21,122.66,123.13,121.72,121.98,105581100,0.0,0
2012-08-22,121.68,122.23,121.39,122.04,133243500,0.0,0
2012-08-23,121.74,121.74,120.85,121.04,111466400,0.0,0
2012-08-24,120.74,122.05,120.66,121.77,99481200,0.0,0
2012-08-27,122.1,122.26,121.62,121.8,68785900,0.0,0
2012-08-28,121.49,122.05,121.31,121.68,75689600,0.0,0
2012-08-29,121.78,122.1,121.43,121.77,65421300,0.0,0
2012-08-30,121.24,121.28,120.63,120.89,96589900,0.0,0
2012-08-31,121.58,122.04,120.78,121.47,151970400,0.0,0
2012-09-04,121.37,121.73,120.58,121.36,120226200,0.0,0
2012-09-05,121.41,121.74,121.01,121.25,100660300,0.0,0
2012-09-06,121.98,123.72,121.98,123.71,158272500,0.0,0
2012-09-07,123.92,124.25,123.81,124.2,107272100,0.0,0
2012-09-10,124.08,124.29,123.45,123.49,86458500,0.0,0
2012-09-11,123.57,124.23,123.53,123.84,88760000,0.0,0
2012-09-12,124.25,124.39,123.83,124.25,87640900,0.0,0
2012-09-13,124.23,126.53,123.9,126.14,225470200,0.0,0
2012-09-14,126.39,127.45,126.29,126.7,169777000,0.0,0
2012-09-17,126.44,126.66,125.95,126.27,119427800,0.0,0
2012-09-18,126.06,126.33,125.85,126.17,98326600,0.0,0
2012-09-19,126.31,126.64,125.99,126.24,128318300,0.0,0
2012-09-20,125.66,126.31,125.32,126.24,154009800,0.0,0
2012-09-21,126.86,126.88,126.14,126.19,108737500,0.779,0
2012-09-24,125.57,126.29,125.47,126.0,95682000,0.0,0
2012-09-25,126.27,126.51,124.63,124.66,133165200,0.0,0
2012-09-26,124.63,124.67,123.67,123.96,146502200,0.0,0
2012-09-27,124.48,125.41,124.15,125.13,111830300,0.0,0
2012-09-28,124.65,125.06,124.11,124.55,150696100,0.0,0
2012-10-01,125.02,126.04,124.58,124.88,135911200,0.0,0
2012-10-02,125.37,125.57,124.43,125.01,113422200,0.0,0
2012-10-03,125.34,125.81,124.69,125.52,121283100,0.0,0
2012-10-04,125.99,126.6,125.82,126.42,124311600,0.0,0
